contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate
NVDA240628C00026000,2024-06-25 16:28:14+00:00,26.0,98.6,0.0,0.0,3.949997,4.173267,3.0,237.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00028000,2024-06-14 19:24:50+00:00,28.0,103.97,0.0,0.0,0.0,0.0,,1.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00029000,2024-06-21 16:13:32+00:00,29.0,100.22,0.0,0.0,0.0,0.0,10.0,10.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00030000,2024-06-20 13:30:00+00:00,30.0,109.48,0.0,0.0,0.0,0.0,1.0,43.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00031000,2024-06-24 14:49:53+00:00,31.0,87.45,0.0,0.0,0.0,0.0,6.0,26.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00032000,2024-06-21 15:17:23+00:00,32.0,96.25,0.0,0.0,0.0,0.0,20.0,30.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00033000,2024-06-21 17:43:46+00:00,33.0,93.18,0.0,0.0,0.0,0.0,9.0,41.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00034000,2024-06-18 15:22:16+00:00,34.0,99.18,0.0,0.0,0.0,0.0,10.0,10.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00035000,2024-06-25 16:01:17+00:00,35.0,90.2,0.0,0.0,5.199997,6.1176434,1.0,24.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00037000,2024-06-21 15:53:21+00:00,37.0,92.5,0.0,0.0,0.0,0.0,2.0,2.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00038000,2024-06-24 15:59:48+00:00,38.0,82.85,0.0,0.0,0.0,0.0,10.0,11.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00039000,2024-06-14 19:46:19+00:00,39.0,92.68,0.0,0.0,0.0,0.0,2.0,11.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00040000,2024-06-25 15:38:10+00:00,40.0,84.62,0.0,0.0,4.6399994,5.8014493,51.0,13.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00043000,2024-06-25 14:07:23+00:00,43.0,79.04,0.0,0.0,2.1399994,2.782834,20.0,20.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00044000,2024-06-21 14:47:13+00:00,44.0,82.5,0.0,0.0,0.0,0.0,6.0,10.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00045000,2024-06-24 18:13:27+00:00,45.0,74.0,0.0,0.0,0.0,0.0,50.0,40.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00046000,2024-06-25 14:05:48+00:00,46.0,76.08,0.0,0.0,0.0,0.0,10.0,79.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00048000,2024-06-24 19:59:11+00:00,48.0,70.22,0.0,0.0,0.0,0.0,2.0,35.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00049000,2024-06-24 19:24:32+00:00,49.0,71.5,0.0,0.0,0.0,0.0,1.0,39.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00050000,2024-06-25 19:51:06+00:00,50.0,75.76,0.0,0.0,0.0,0.0,80.0,92.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00051000,2024-06-13 13:59:18+00:00,51.0,77.85,0.0,0.0,0.0,0.0,5.0,10.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00052000,2024-06-21 18:51:59+00:00,52.0,74.43,0.0,0.0,0.0,0.0,10.0,60.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00053000,2024-06-21 18:51:59+00:00,53.0,73.43,0.0,0.0,0.0,0.0,10.0,30.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00054000,2024-06-21 14:53:10+00:00,54.0,72.7,0.0,0.0,0.0,0.0,1.0,21.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00055000,2024-06-21 13:57:01+00:00,55.0,70.53,0.0,0.0,0.0,0.0,400.0,300.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00056000,2024-06-25 19:11:14+00:00,56.0,69.18,0.0,0.0,0.0,0.0,11.0,78.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00057000,2024-06-25 17:32:48+00:00,57.0,67.7,0.0,0.0,0.0,0.0,12.0,24.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00058000,2024-06-20 19:19:26+00:00,58.0,72.62,0.0,0.0,0.0,0.0,60.0,5.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00059000,2024-06-21 16:12:46+00:00,59.0,70.66,0.0,0.0,0.0,0.0,20.0,20.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00060000,2024-06-25 16:23:15+00:00,60.0,64.5,0.0,0.0,0.0,0.0,20.0,81.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00061000,2024-06-25 18:24:55+00:00,61.0,63.8,0.0,0.0,0.0,0.0,1.0,114.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00062000,2024-06-24 14:35:36+00:00,62.0,59.8,0.0,0.0,0.0,0.0,1.0,21.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00063000,2024-06-20 19:36:21+00:00,63.0,68.95,0.0,0.0,0.0,0.0,,3.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00064000,2024-06-25 14:51:42+00:00,64.0,57.9,0.0,0.0,0.0,0.0,8.0,60.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00065000,2024-06-21 14:32:43+00:00,65.0,60.68,0.0,0.0,0.0,0.0,10.0,76.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00066000,2024-06-20 18:39:20+00:00,66.0,66.5,0.0,0.0,0.0,0.0,20.0,60.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00067000,2024-06-25 19:12:07+00:00,67.0,58.2,0.0,0.0,0.0,0.0,9.0,65.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00068000,2024-06-20 13:45:15+00:00,68.0,72.32,0.0,0.0,0.0,0.0,20.0,101.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00069000,2024-06-24 19:58:39+00:00,69.0,49.15,0.0,0.0,0.0,0.0,3.0,50.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00070000,2024-06-25 19:51:06+00:00,70.0,55.75,0.0,0.0,0.0,0.0,94.0,319.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00071000,2024-05-30 19:44:51+00:00,71.0,40.61,0.0,0.0,0.0,0.0,,10.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00072000,2024-06-25 14:50:32+00:00,72.0,50.1,0.0,0.0,0.0,0.0,1.0,15.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00073000,2024-06-24 16:52:03+00:00,73.0,47.75,0.0,0.0,0.0,0.0,13.0,179.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00074000,2024-06-24 18:16:22+00:00,74.0,45.1,0.0,0.0,0.0,0.0,10.0,145.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00075000,2024-06-25 16:17:03+00:00,75.0,49.9,0.0,0.0,0.0,0.0,2.0,170.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00075500,2024-06-24 16:40:21+00:00,75.5,45.5,0.0,0.0,0.0,0.0,2.0,131.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00076000,2024-06-21 17:57:39+00:00,76.0,50.35,0.0,0.0,0.0,0.0,5.0,109.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00076500,2024-06-24 15:23:10+00:00,76.5,43.55,0.0,0.0,0.0,0.0,9.0,46.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00077000,2024-06-24 19:45:38+00:00,77.0,42.95,0.0,0.0,0.0,0.0,4.0,170.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00077500,2024-06-18 13:35:49+00:00,77.5,54.76,0.0,0.0,0.0,0.0,2000.0,2074.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00078000,2024-06-24 18:59:01+00:00,78.0,41.75,0.0,0.0,0.0,0.0,4.0,3301.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00078500,2024-06-24 19:13:42+00:00,78.5,42.1,0.0,0.0,0.0,0.0,3.0,105.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00079000,2024-06-25 13:30:01+00:00,79.0,42.2,0.0,0.0,0.0,0.0,1.0,140.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00079500,2024-06-25 19:24:57+00:00,79.5,46.2,0.0,0.0,0.0,0.0,14.0,1427.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00080000,2024-06-25 19:53:20+00:00,80.0,46.05,0.0,0.0,0.0,0.0,10.0,848.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00080500,2024-06-21 18:33:35+00:00,80.5,46.25,0.0,0.0,0.0,0.0,1.0,916.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00081000,2024-06-24 18:59:01+00:00,81.0,38.75,0.0,0.0,0.0,0.0,3.0,2071.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
NVDA240628C00081500,2024-06-24 19:13:26+00:00,81.5,39.0,0.0,0.0,0.0,0.0,20.0,97.0,1.0000000000000003e-05,True,REGULAR,USD,2024-06-28
