contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate
NVDA240628P00026000,2024-06-25 18:11:57+00:00,26.0,0.01,0.0,0.0,0.0,0.0,3.0,230.0,0.500005,False,REGULAR,USD,2024-06-28
NVDA240628P00030000,2024-06-21 19:20:45+00:00,30.0,0.01,0.0,0.0,0.0,0.0,10.0,5252.0,0.500005,False,REGULAR,USD,2024-06-28
NVDA240628P00032000,2024-05-24 16:38:36+00:00,32.0,0.01,0.0,0.01,0.0,0.0,,10.0,4.7500040624999995,False,REGULAR,USD,2024-06-28
NVDA240628P00033000,2024-06-21 13:56:16+00:00,33.0,0.01,0.0,0.0,0.0,0.0,5.0,5.0,0.500005,False,REGULAR,USD,2024-06-28
NVDA240628P00034000,2024-05-30 19:15:09+00:00,34.0,0.02,0.0,0.0,0.0,0.0,,40.0,0.500005,False,REGULAR,USD,2024-06-28
NVDA240628P00035000,2024-06-12 13:30:22+00:00,35.0,0.04,0.0,0.0,0.0,0.0,,30.0,0.500005,False,REGULAR,USD,2024-06-28
NVDA240628P00037000,2024-06-13 19:53:58+00:00,37.0,0.01,0.0,0.0,0.0,0.0,5.0,5.0,0.500005,False,REGULAR,USD,2024-06-28
NVDA240628P00039000,2024-06-07 13:30:04+00:00,39.0,0.01,0.0,0.0,0.0,0.0,,1050.0,0.500005,False,REGULAR,USD,2024-06-28
NVDA240628P00040000,2024-06-24 13:45:25+00:00,40.0,0.01,0.0,0.0,0.0,0.0,10.0,60.0,0.500005,False,REGULAR,USD,2024-06-28
NVDA240628P00042000,2024-06-06 17:48:01+00:00,42.0,0.01,0.0,0.0,0.0,0.0,,10.0,0.500005,False,REGULAR,USD,2024-06-28
NVDA240628P00045000,2024-06-20 15:36:03+00:00,45.0,0.01,0.0,0.0,0.0,0.0,,1152.0,0.500005,False,REGULAR,USD,2024-06-28
NVDA240628P00046000,2024-06-03 13:30:08+00:00,46.0,0.01,0.0,0.0,0.0,0.0,,20.0,0.500005,False,REGULAR,USD,2024-06-28
NVDA240628P00047000,2024-05-29 13:39:43+00:00,47.0,0.01,0.0,0.0,0.0,0.0,,30.0,0.500005,False,REGULAR,USD,2024-06-28
NVDA240628P00048000,2024-06-03 13:30:08+00:00,48.0,0.01,0.0,0.0,0.0,0.0,,10.0,0.500005,False,REGULAR,USD,2024-06-28
NVDA240628P00050000,2024-06-21 13:54:26+00:00,50.0,0.01,0.0,0.0,0.0,0.0,3.0,1063.0,0.500005,False,REGULAR,USD,2024-06-28
NVDA240628P00051000,2024-06-05 13:38:05+00:00,51.0,0.01,0.0,0.0,0.0,0.0,,60.0,0.500005,False,REGULAR,USD,2024-06-28
NVDA240628P00052000,2024-06-18 17:50:31+00:00,52.0,0.01,0.0,0.0,0.0,0.0,30.0,270.0,0.500005,False,REGULAR,USD,2024-06-28
NVDA240628P00053000,2024-06-05 14:16:20+00:00,53.0,0.01,0.0,0.0,0.0,0.0,,260.0,0.500005,False,REGULAR,USD,2024-06-28
NVDA240628P00054000,2024-06-07 16:50:11+00:00,54.0,0.02,0.0,0.0,0.0,0.0,,80.0,0.500005,False,REGULAR,USD,2024-06-28
NVDA240628P00055000,2024-06-24 13:36:54+00:00,55.0,0.01,0.0,0.0,0.0,0.0,1.0,292.0,0.500005,False,REGULAR,USD,2024-06-28
NVDA240628P00056000,2024-06-12 17:18:49+00:00,56.0,0.01,0.0,0.0,0.0,0.0,,350.0,0.500005,False,REGULAR,USD,2024-06-28
NVDA240628P00057000,2024-06-14 14:50:18+00:00,57.0,0.01,0.0,0.0,0.0,0.0,20.0,320.0,0.500005,False,REGULAR,USD,2024-06-28
NVDA240628P00058000,2024-06-10 13:30:09+00:00,58.0,0.03,0.0,0.0,0.0,0.0,,290.0,0.500005,False,REGULAR,USD,2024-06-28
NVDA240628P00059000,2024-06-20 17:18:32+00:00,59.0,0.01,0.0,0.0,0.0,0.0,6.0,197.0,0.500005,False,REGULAR,USD,2024-06-28
NVDA240628P00060000,2024-06-25 13:30:07+00:00,60.0,0.01,0.0,0.0,0.0,0.0,2.0,3197.0,1.000005,False,REGULAR,USD,2024-06-28
NVDA240628P00061000,2024-06-21 14:26:19+00:00,61.0,0.01,0.0,0.0,0.0,0.0,10.0,428.0,0.500005,False,REGULAR,USD,2024-06-28
NVDA240628P00062000,2024-06-17 13:30:35+00:00,62.0,0.01,0.0,0.0,0.0,0.0,10.0,600.0,0.500005,False,REGULAR,USD,2024-06-28
NVDA240628P00063000,2024-06-21 13:59:29+00:00,63.0,0.01,0.0,0.0,0.0,0.0,1.0,5084.0,0.500005,False,REGULAR,USD,2024-06-28
NVDA240628P00064000,2024-06-24 14:16:17+00:00,64.0,0.01,0.0,0.0,0.0,0.0,2.0,212.0,0.500005,False,REGULAR,USD,2024-06-28
NVDA240628P00065000,2024-06-24 13:30:11+00:00,65.0,0.01,0.0,0.0,0.0,0.0,2.0,15733.0,0.500005,False,REGULAR,USD,2024-06-28
NVDA240628P00066000,2024-06-21 17:14:18+00:00,66.0,0.01,0.0,0.0,0.0,0.0,32.0,593.0,0.500005,False,REGULAR,USD,2024-06-28
NVDA240628P00067000,2024-06-21 19:50:01+00:00,67.0,0.02,0.0,0.0,0.0,0.0,196.0,5218.0,0.500005,False,REGULAR,USD,2024-06-28
NVDA240628P00068000,2024-06-24 13:31:46+00:00,68.0,0.01,0.0,0.0,0.0,0.0,300.0,1443.0,0.500005,False,REGULAR,USD,2024-06-28
NVDA240628P00069000,2024-06-24 13:34:51+00:00,69.0,0.01,0.0,0.0,0.0,0.0,365.0,1060.0,0.500005,False,REGULAR,USD,2024-06-28
